City_ID,City,Country,Date,Lat,Lon,Wx_Desc,Max_Temp_(F),Humidity_%,Cloud_%,Wind_Spd
114,Albany,US,2022-03-20 23:28:28,42.6001,-73.9662,light rain,41.65,82,100,1.99
115,Ebetsu,JP,2022-03-20 23:32:43,43.1081,141.5506,light snow,36.09,66,75,4.61
116,Balikpapan,ID,2022-03-20 23:27:47,-1.2675,116.8289,few clouds,76.19,94,20,0.0
117,Kodiak,US,2022-03-20 23:32:44,57.79,-152.4072,light rain,36.91,87,100,12.66
118,Saint-Philippe,RE,2022-03-20 23:32:44,-21.3585,55.7679,overcast clouds,76.59,84,91,9.08
119,Hithadhoo,MV,2022-03-20 23:32:45,-0.6,73.0833,overcast clouds,83.88,68,96,15.37
120,Baker City,US,2022-03-20 23:29:34,44.7749,-117.8344,few clouds,44.6,41,20,16.11
121,Tuatapere,NZ,2022-03-20 23:28:27,-46.1333,167.6833,scattered clouds,60.78,76,45,4.85
122,Igbo Ora,NG,2022-03-20 23:32:46,7.4333,3.2833,overcast clouds,79.5,80,94,4.36
123,Saint George,US,2022-03-20 23:30:22,37.1041,-113.5841,few clouds,58.62,46,20,9.22
124,Dudesti,RO,2022-03-20 23:32:47,44.9,27.4333,clear sky,32.88,62,9,7.61
125,Coihaique,CL,2022-03-20 23:31:35,-45.5752,-72.0662,overcast clouds,57.81,71,100,0.0
126,Mbandaka,CD,2022-03-20 23:32:47,0.0487,18.2603,broken clouds,73.02,90,73,2.66
127,Muravlenko,RU,2022-03-20 23:32:48,63.7898,74.523,light snow,21.9,97,100,6.55
128,Moose Factory,CA,2022-03-20 23:32:48,51.2585,-80.6094,overcast clouds,26.6,74,100,16.11
129,Provideniya,RU,2022-03-20 23:32:51,64.3833,-173.3,few clouds,14.36,62,20,4.47
130,Bilma,NE,2022-03-20 23:32:51,18.6853,12.9164,few clouds,79.21,7,13,4.97
131,Mar Del Plata,AR,2022-03-20 23:29:11,-38.0023,-57.5575,clear sky,59.09,71,0,21.0
132,Jibuti,DJ,2022-03-20 23:32:52,11.5,42.5,few clouds,69.46,80,12,11.45
133,Viedma,AR,2022-03-20 23:30:25,-40.8135,-62.9967,broken clouds,62.31,66,66,21.52
134,Rognan,NO,2022-03-20 23:33:53,67.0953,15.3878,broken clouds,45.88,58,77,7.25
135,Cayenne,GF,2022-03-20 23:30:08,4.9333,-52.3333,broken clouds,80.1,1,75,8.05
136,Leningradskiy,RU,2022-03-20 23:33:53,69.3833,178.4167,clear sky,7.02,79,0,2.24
137,Karlstad,SE,2022-03-20 23:33:54,59.3793,13.5036,clear sky,27.16,93,0,3.44
138,Batagay,RU,2022-03-20 23:33:54,67.6333,134.6333,broken clouds,-5.96,95,57,0.51
139,Tiksi,RU,2022-03-20 23:33:55,71.6872,128.8694,overcast clouds,4.21,88,100,9.51
140,Sovetskiy,RU,2022-03-20 23:33:55,61.3614,63.5842,snow,27.03,95,100,13.13
141,Cherskiy,RU,2022-03-20 23:33:56,68.75,161.3,overcast clouds,7.65,85,95,5.77
142,Tombouctou,ML,2022-03-20 23:33:56,20.0,-3.0,few clouds,74.28,16,20,12.37
143,Annau,TM,2022-03-20 23:33:57,37.8876,58.516,overcast clouds,45.9,81,100,9.22
144,Bredasdorp,ZA,2022-03-20 23:33:57,-34.5322,20.0403,clear sky,66.06,91,0,7.65
145,Barrow,US,2022-03-20 23:31:49,71.2906,-156.7887,clear sky,-16.58,76,0,5.75
146,Hualmay,PE,2022-03-20 23:33:58,-11.0964,-77.6139,broken clouds,70.63,81,73,9.71
147,Mayumba,GA,2022-03-20 23:33:58,-3.432,10.6554,overcast clouds,79.25,82,99,3.85
148,Yeniseysk,RU,2022-03-20 23:33:15,58.4497,92.1703,light snow,17.91,89,100,9.95
149,Kanniyakumari,IN,2022-03-20 23:33:59,8.0833,77.5667,clear sky,79.25,84,0,15.35
150,Dingle,PH,2022-03-20 23:33:59,10.9995,122.6711,overcast clouds,81.63,78,100,9.17
151,Vadso,NO,2022-03-20 23:34:00,70.0744,29.7487,few clouds,38.28,87,20,3.44
152,Greensburg,US,2022-03-20 23:30:37,40.3015,-79.5389,clear sky,51.01,42,0,12.66
153,Shanhetun,CN,2022-03-20 23:34:01,44.7,127.2,overcast clouds,26.67,72,95,11.25
154,Nouadhibou,MR,2022-03-20 23:34:01,20.931,-17.0347,clear sky,64.38,68,0,19.57
155,Creel,MX,2022-03-20 23:34:02,27.75,-107.6333,few clouds,56.23,16,22,21.81
156,Karamadai,IN,2022-03-20 23:34:02,11.2406,76.9601,clear sky,75.58,69,6,4.0
157,Zempoala,MX,2022-03-20 23:34:03,19.45,-96.4167,broken clouds,76.91,69,75,7.99
158,Vestmannaeyjar,IS,2022-03-20 23:34:03,63.4427,-20.2734,overcast clouds,39.81,62,96,4.63
159,Puerto Ayora,EC,2022-03-20 23:32:06,-0.7393,-90.3518,light rain,79.81,79,52,5.35
160,Ola,RU,2022-03-20 23:34:04,59.5833,151.2833,overcast clouds,30.15,73,100,12.08
161,Tura,IN,2022-03-20 23:34:04,25.5198,90.2201,scattered clouds,67.57,50,34,4.72
162,Perigueux,FR,2022-03-20 23:34:05,45.1833,0.7167,overcast clouds,53.01,74,100,10.11
163,Los Llanos De Aridane,ES,2022-03-20 23:34:06,28.6585,-17.9182,few clouds,60.55,79,20,10.36
164,La Ronge,CA,2022-03-20 23:34:06,55.1001,-105.2842,broken clouds,43.05,42,75,13.8
165,Mao,ES,2022-03-20 23:34:07,39.8885,4.2658,broken clouds,55.96,76,75,17.27
166,Georgetown,MY,2022-03-20 23:34:07,5.4112,100.3354,few clouds,80.55,78,20,11.5
